M,p,generacion,fraccion_con_antepasado_homicida
1000,0.001,17,1.00000000
1000,0.001,18,1.00000000
1000,0.001,19,1.00000000
1000,0.001,20,1.00000000
1000,0.001,21,1.00000000
1000,0.001,22,1.00000000
1000,0.001,23,1.00000000
1000,0.001,24,1.00000000
1000,0.001,25,1.00000000
1000,0.001,26,1.00000000
1000,0.001,27,1.00000000
1000,0.001,28,1.00000000
1000,0.001,29,1.00000000
1000,0.01,0,0.00000000
1000,0.01,1,0.01913333
1000,0.01,2,0.05560000
1000,0.01,3,0.12636667
1000,0.01,4,0.24323333
1000,0.01,5,0.43500000
1000,0.01,6,0.68126667
1000,0.01,7,0.88866667
1000,0.01,8,0.98230000
1000,0.01,9,0.99886667
1000,0.01,10,1.00000000
1000,0.01,11,1.00000000
1000,0.01,12,1.00000000
1000,0.01,13,1.00000000
1000,0.01,14,1.00000000
1000,0.01,15,1.00000000
1000,0.01,16,1.00000000
1000,0.01,17,1.00000000
1000,0.01,18,1.00000000
1000,0.01,19,1.00000000
1000,0.01,20,1.00000000
1000,0.01,21,1.00000000
1000,0.01,22,1.00000000
1000,0.01,23,1.00000000
1000,0.01,24,1.00000000
1000,0.01,25,1.00000000
1000,0.01,26,1.00000000
1000,0.01,27,1.00000000
1000,0.01,28,1.00000000
1000,0.01,29,1.00000000
1000,0.05,0,0.00000000
1000,0.05,1,0.09120000
1000,0.05,2,0.25163333
1000,0.05,3,0.49280000
1000,0.05,4,0.76220000
1000,0.05,5,0.94340000
1000,0.05,6,0.99650000
1000,0.05,7,0.99996667
1000,0.05,8,1.00000000
1000,0.05,9,1.00000000
1000,0.05,10,1.00000000
1000,0.05,11,1.00000000
1000,0.05,12,1.00000000
1000,0.05,13,1.00000000
1000,0.05,14,1.00000000
1000,0.05,15,1.00000000
1000,0.05,16,1.00000000
1000,0.05,17,1.00000000
1000,0.05,18,1.00000000
1000,0.05,19,1.00000000
1000,0.05,20,1.00000000
1000,0.05,21,1.00000000
1000,0.05,22,1.00000000
1000,0.05,23,1.00000000
1000,0.05,24,1.00000000
1000,0.05,25,1.00000000
1000,0.05,26,1.00000000
1000,0.05,27,1.00000000
1000,0.05,28,1.00000000
1000,0.05,29,1.00000000
5000,0.001,0,0.00000000
5000,0.001,1,0.00196000
5000,0.001,2,0.00645333
5000,0.001,3,0.01429333
5000,0.001,4,0.02989333
5000,0.001,5,0.06104000
5000,0.001,6,0.12035333
5000,0.001,7,0.22782667
5000,0.001,8,0.40193333
5000,0.001,9,0.63254000
5000,0.001,10,0.84834667
5000,0.001,11,0.96696000
5000,0.001,12,0.99748667
5000,0.001,13,0.99995333
5000,0.001,14,1.00000000
5000,0.001,15,1.00000000
5000,0.001,16,1.00000000
5000,0.001,17,1.00000000
5000,0.001,18,1.00000000
5000,0.001,19,1.00000000
5000,0.001,20,1.00000000
5000,0.001,21,1.00000000
5000,0.001,22,1.00000000
5000,0.001,23,1.00000000
5000,0.001,24,1.00000000
5000,0.001,25,1.00000000
5000,0.001,26,1.00000000
5000,0.001,27,1.00000000
5000,0.001,28,1.00000000
5000,0.001,29,1.00000000
5000,0.01,0,0.00000000
5000,0.01,1,0.01912000
5000,0.01,2,0.05795333
5000,0.01,3,0.12948000
5000,0.01,4,0.25740667
5000,0.01,5,0.45786000
5000,0.01,6,0.71283333
5000,0.01,7,0.91737333
5000,0.01,8,0.99260000
5000,0.01,9,0.99996000
5000,0.01,10,1.00000000
5000,0.01,11,1.00000000
5000,0.01,12,1.00000000
5000,0.01,13,1.00000000
5000,0.01,14,1.00000000
5000,0.01,15,1.00000000
5000,0.01,16,1.00000000
5000,0.01,17,1.00000000
5000,0.01,18,1.00000000
5000,0.01,19,1.00000000
5000,0.01,20,1.00000000
5000,0.01,21,1.00000000
5000,0.01,22,1.00000000
5000,0.01,23,1.00000000
5000,0.01,24,1.00000000
5000,0.01,25,1.00000000
5000,0.01,26,1.00000000
5000,0.01,27,1.00000000
5000,0.01,28,1.00000000
5000,0.01,29,1.00000000
5000,0.05,0,0.00000000
5000,0.05,1,0.09732000
5000,0.05,2,0.26490000
5000,0.05,3,0.51056000
5000,0.05,4,0.78208000
5000,0.05,5,0.95742000
5000,0.05,6,0.99837333
5000,0.05,7,0.99999333
5000,0.05,8,1.00000000
5000,0.05,9,1.00000000
5000,0.05,10,1.00000000
5000,0.05,11,1.00000000
5000,0.05,12,1.00000000
5000,0.05,13,1.00000000
5000,0.05,14,1.00000000
5000,0.05,15,1.00000000
5000,0.05,16,1.00000000
